""	"Row"	"GeneID"	"GeneName"	"Score(d)"	"Numerator(r)"	"Denominator(s+s0)"	"FoldChange"	"q-value(%)"	"pvalues"	"fdr_bh"	"sig"
"1"	NA	NA	NA	NA	NA	NA	NA	NA	0.0419268404206676	0.128798179570738	"Significant DEG"
"2"	NA	NA	NA	NA	NA	NA	NA	NA	0.119583904892547	0.267336549863025	"Non DEG"
"3"	NA	NA	NA	NA	NA	NA	NA	NA	0.502474622770919	0.673121967952173	"Non DEG"
"4"	NA	NA	NA	NA	NA	NA	NA	NA	0.119583904892547	0.267336549863025	"Non DEG"
"5"	NA	NA	NA	NA	NA	NA	NA	NA	0.0022478280749886	0.0161201469045123	"Significant DEG"
"6"	NA	NA	NA	NA	NA	NA	NA	NA	0.760866941015089	0.855324135945885	"Non DEG"
"7"	NA	NA	NA	NA	NA	NA	NA	NA	0.0909693644261546	0.221646613190731	"Non DEG"
"8"	NA	NA	NA	NA	NA	NA	NA	NA	0.463888431641518	0.640514672458205	"Non DEG"
"9"	NA	NA	NA	NA	NA	NA	NA	NA	0.000352080475537266	0.00425508399646331	"Significant DEG"
"10"	NA	NA	NA	NA	NA	NA	NA	NA	0.760866941015089	0.855324135945885	"Non DEG"
"11"	NA	NA	NA	NA	NA	NA	NA	NA	0.855218106995885	0.91126929373246	"Non DEG"
"12"	NA	NA	NA	NA	NA	NA	NA	NA	0.807575674439872	0.883242983737073	"Non DEG"
"13"	NA	NA	NA	NA	NA	NA	NA	NA	0.542595336076818	0.705050264990375	"Non DEG"
"14"	NA	NA	NA	NA	NA	NA	NA	NA	0.000138088705989994	0.00233457019171395	"Significant DEG"
"15"	NA	NA	NA	NA	NA	NA	NA	NA	0.241998171010517	0.426086046436737	"Non DEG"
"16"	NA	NA	NA	NA	NA	NA	NA	NA	0.542595336076818	0.705050264990375	"Non DEG"
"17"	NA	NA	NA	NA	NA	NA	NA	NA	0.268650205761317	0.455554694042118	"Non DEG"
"18"	NA	NA	NA	NA	NA	NA	NA	NA	0.0786319158664837	0.200288842301421	"Non DEG"
"19"	NA	NA	NA	NA	NA	NA	NA	NA	0.855218106995885	0.91126929373246	"Non DEG"
"20"	NA	NA	NA	NA	NA	NA	NA	NA	0.15363511659808	0.316372264698128	"Non DEG"
"21"	NA	NA	NA	NA	NA	NA	NA	NA	0.760866941015089	0.855324135945885	"Non DEG"
"22"	NA	NA	NA	NA	NA	NA	NA	NA	0.0295976223136717	0.100244688100105	"Significant DEG"
"23"	NA	NA	NA	NA	NA	NA	NA	NA	0.502474622770919	0.673121967952173	"Non DEG"
"24"	NA	NA	NA	NA	NA	NA	NA	NA	0.463888431641518	0.640514672458205	"Non DEG"
"25"	NA	NA	NA	NA	NA	NA	NA	NA	0.00743941472336534	0.0377459168522643	"Significant DEG"
"26"	NA	NA	NA	NA	NA	NA	NA	NA	0.426993141289438	0.608662269266868	"Non DEG"
"27"	NA	NA	NA	NA	NA	NA	NA	NA	0.0114101508916323	0.0512655107239706	"Significant DEG"
"28"	NA	NA	NA	NA	NA	NA	NA	NA	0.626470050297211	0.765687173067465	"Non DEG"
"29"	NA	NA	NA	NA	NA	NA	NA	NA	0.463888431641518	0.640514672458205	"Non DEG"
"30"	NA	NA	NA	NA	NA	NA	NA	NA	0.241998171010517	0.426086046436737	"Non DEG"
"31"	NA	NA	NA	NA	NA	NA	NA	NA	0.217144947416552	0.397309417040359	"Non DEG"
"32"	NA	NA	NA	NA	NA	NA	NA	NA	0.0353516232281664	0.113898055391868	"Significant DEG"
"33"	NA	NA	NA	NA	NA	NA	NA	NA	0.583931412894376	0.735683342166509	"Non DEG"
"34"	NA	NA	NA	NA	NA	NA	NA	NA	0.0353516232281664	0.113898055391868	"Significant DEG"
"35"	NA	NA	NA	NA	NA	NA	NA	NA	0.626470050297211	0.765687173067465	"Non DEG"
"36"	NA	NA	NA	NA	NA	NA	NA	NA	0.715089163237311	0.826620575922872	"Non DEG"
"37"	NA	NA	NA	NA	NA	NA	NA	NA	0.0493854595336077	0.144834522340825	"Significant DEG"
"38"	NA	NA	NA	NA	NA	NA	NA	NA	0.715089163237311	0.826620575922872	"Non DEG"
"39"	NA	NA	NA	NA	NA	NA	NA	NA	0.0419268404206676	0.128798179570738	"Significant DEG"
